ID;Nombre del Producto;Tipo de Solución;Línea / Categoría;Segmento;Estado;Listo para Propuesta;Tecnologías Utilizadas;Sectores Económicos de Aplicación;Tags del Portafolio;Lema / Slogan;Descripción General;Casos de Uso Principales;Link de Despliegue;Repositorio GitHub;Enlace Video Demo;Enlace Presentación
GL-SW-001;PitchLab360;Plataforma de Análisis Forense de Discurso y NLP;Línea PitchLab;Sector Público;En línea;Sí;Claude 3.5 (Anthropic), Python, FastAPI, React;Sector Público, Consultoría Política, Medios de Comunicación, Asuntos Públicos y Corporativos;Gobierno, Política, IA Generativa, Claude, NLP, Análisis de Discurso, Listo para propuesta;Analiza el discurso, mejora el mensaje;Análisis de discurso político con Claude (Anthropic). Perfil comunicativo, análisis emocional, stakeholders, encuadres narrativos y potencial digital. Probado con candidatos presidenciales.;Evaluación de debates presidenciales, discursos oficiales, auditoría de encuadres y framing narrativo.;https://pitchlab360-production.up.railway.app/;https://github.com/Juansotag/PitchLab360;https://drive.google.com/file/d/1bYLxn5TCm_Hwq6DG7-u7UYui5N5szYUm/view?usp=drive_link;NA
GL-SW-002;Polycheck;Extensión de Navegador / Fact-Checking en Tiempo Real;Línea PitchLab;Sector Público;En línea;Sí;GPT-4o, Gemini API, Google Search API, Chrome Extension (Manifest V3), JavaScript;Medios de Comunicación, Periodismo, Sector Público, Campañas Electorales, Think Tanks;Medios, Gobierno, Extensión Chrome, GPT-4o, Fact-checking, Listo para propuesta;Verifica en tiempo real, no después;Extensión de Chrome para fact-checking en tiempo real sobre videos de YouTube y directos. Integración GPT-4o + Gemini + Google Search para análisis forense del discurso.;Verificación instantánea de afirmaciones en transmisiones en vivo, discursos y debates en YouTube.;NA;https://github.com/Juansotag/Polycheck;https://drive.google.com/file/d/111GwtqEWziIQFwi8BxMgQhiR6ZT-o2YW/view?usp=drive_link;NA
GL-SW-003;PitchLab Med;Simulador y Evaluador Conversacional de Cumplimiento Normativo;Línea PitchLab;Sector Privado;En línea;Sí;LLMs (OpenAI/Anthropic), FastAPI, React, Speech-to-Text;Industria Farmacéutica, Salud, Dispositivos Médicos, Laboratorios Clínicos;Salud, Farma, IA Conversacional, Regulación, INVIMA, Listo para propuesta;Practica tu pitch médico con estándares INVIMA;Plataforma para la práctica y evaluación de pitch médicos con medidas de rigurosidad INVIMA. Entrenamiento conversacional para profesionales e industria farmacéutica.;Entrenamiento de visitadores médicos y voceros en regulación sanitaria INVIMA y comunicación técnico-científica.;https://pitchlab-med.up.railway.app/;https://github.com/Juansotag/PitchLab360-comercial;NA;NA
GL-SW-004;PitchLab Entrenamiento;Avatar Interactivo y Coach de Negociación por Voz en Vivo;Línea PitchLab;Sector Privado;En línea;Sí;LiveKit WebRTC, Avatares HeyGen/Tavus, Silero VAD, OpenAI Realtime;Sector Corporativo, Banca & Finanzas, Consultoría, Recursos Humanos & Capacitación;Empresa, Avatar en Vivo, Voz en Tiempo Real, LiveKit, Negociación, Listo para propuesta;Entrena tu discurso con un avatar interactivo;Avatar interactivo en tiempo real para entrenamiento en ventas y negociación corporativa. Análisis automático de fluidez, muletillas, persuasión y lenguaje no verbal.;Simulación inmersiva de objeciones de clientes, pitch de ventas B2B y entrevistas de alta exigencia.;https://pitchlab-entrenamiento.up.railway.app/;https://github.com/Juansotag/PitchLab_LiveKit;NA;NA
GL-SW-005;GovTest;Voting Advice Application (VAA) y Plataforma de Afinidad Política;Línea GovTest & Opinión;Sector Público;En línea;Sí;React, Supabase, Algoritmos de Matching Político, Tailwind CSS;Sector Público, Consultoría Política, Medios de Comunicación, Organizaciones Cívicas;Política, Gobierno, Web App, Supabase, Elecciones 2026, Listo para propuesta;Descubre tu afinidad política con datos reales;Test de afinidad política para las elecciones colombianas de 2026. Comparación de posturas ciudadanas con programas de gobierno y declaraciones de candidatos.;Mapeo de preferencias ciudadanas, pedagogía electoral masiva y sondeos de opinión pública.;https://govtest-production.up.railway.app/;https://github.com/Juansotag/GovTest;https://drive.google.com/file/d/1Xl2Nlq7l44o50H15gNlBqL4894xG960X/view?usp=drive_link;NA
GL-SW-006;Test 9 Ejes;Test Psicométrico e Ideológico Multidimensional;Línea GovTest & Opinión;Sector Público;En línea;Sí;React, Supabase, Chart.js, Modelado Psicométrico;Educación Superior, Investigación Social, Medios, Consultoría Política;Política, Gobierno, Supabase, React, Test Ideológico, Listo para propuesta;Mapea tu pensamiento político en 9 dimensiones;Evaluación ideológica multidimensional basada en el modelo de 9 ejes políticos. Visualización interactiva del posicionamiento frente a diferentes corrientes de pensamiento.;Investigación académica sobre polarización, pedagogía y perfilamiento ideológico de audiencias.;https://9-axes-test-production.up.railway.app/;https://github.com/Juansotag/9-Axes-Test;https://drive.google.com/file/d/1gI264fE0jHk0H4T6d-K10nZ9F0h0y-G1/view?usp=drive_link;NA
GL-SW-007;Test 9 Ejes Colombia;Evaluador Político Contextualizado para Colombia;Línea GovTest & Opinión;Sector Público;En línea;Sí;React, Supabase, Glassmorphism UI, Métricas Estadísticas;Sector Público, Medios de Comunicación, Educación Cívica, Consultoría;Política, Gobierno, Democracia, React, Supabase, Listo para propuesta;El test de 9 ejes adaptado a la realidad colombiana;Versión contextualizada del test de 9 ejes para el escenario político colombiano. Preguntas sobre coyuntura nacional, paz, economía, medio ambiente y modelo de Estado.;Análisis de opinión pública nacional frente a reformas y coyuntura política colombiana.;https://9-ejes-colombia-production.up.railway.app/;https://github.com/Juansotag/9-Ejes-Colombia;https://drive.google.com/file/d/144V973Zp4z7F1wM69V-qR4yQ2vM2y2g3/view?usp=drive_link;NA
GL-SW-008;AlcaldesaIA;Agente de Voz Bidireccional en Tiempo Real;Asistentes de Voz;Sector Público;En línea;No;LiveKit WebRTC, OpenAI Realtime API, Silero VAD, Python FastAPI;Gobiernos Locales, Alcaldías, Sector Público Municipal, Atención Ciudadana;Gobierno, Ciudad, Asistente de Voz, LiveKit, OpenAI Realtime;Habla con la alcaldía, en tiempo real;Asistente de voz conversacional para la Alcaldía de Cajicá. Permite a los ciudadanos consultar trámites, servicios y estado de solicitudes hablando directamente por voz.;Atención 24/7 de consultas de trámites, directorio municipal y orientación ciudadana por voz.;https://alcaldesa-ia-production.up.railway.app/;https://github.com/Juansotag/AlcaldesaIA;https://drive.google.com/file/d/1Xl2Nlq7l44o50H15gNlBqL4894xG960X/view?usp=drive_link;NA
GL-SW-009;Gober Santander;Sistema de Radicación y PQRS por Voz en Tiempo Real;Asistentes de Voz;Sector Público;En línea;Sí;LiveKit, OpenAI Realtime, FastAPI, PostgreSQL / Supabase;Gobiernos Departamentales, Gobernaciones, Sector Público, Servicio al Ciudadano;Gobierno, Región, Asistente de Voz, LiveKit, PQRS, Listo para propuesta;Atención ciudadana inteligente para Santander;Agente de voz para la Gobernación de Santander. Recepción y radicación de PQRS, orientación sobre oferta institucional y seguimiento de trámites departamentales.;Recepción y clasificación automática de peticiones, quejas y reclamos departamentales por canal de voz.;https://gober-santander-production.up.railway.app/;https://github.com/Juansotag/Gober-Santander;https://drive.google.com/file/d/1n23w0-wXo7R-M7oE3r2z4k4v5X3t5Y5Z/view?usp=drive_link;NA
GL-SW-010;Govi;Asistente Institucional Inteligente Multimodal;Asistentes de Voz;Sector Público;En línea;No;LiveKit WebRTC, FastAPI, OpenAI GPT-4o-mini, Vector Store;Educación Superior, Laboratorios de Innovación, Centros de I+D;Gobierno, Tecnología, Asistente de Voz, LiveKit, Chatbot;El asistente inteligente del GovLab;Asistente virtual conversacional del GovLab. Guía a visitantes por el portafolio de proyectos, líneas de investigación, capacidades técnicas y opciones de colaboración.;Demostración de capacidades tecnológicas, navegación interactiva del portafolio y captura de leads.;https://govi-production.up.railway.app/;https://github.com/Juansotag/Govi;NA;NA
GL-SW-011;ConvergenceLab;Laboratorio de Infraestructura y Experimentación en Voz;Asistentes de Voz;Sector Privado;En línea;Sí;Next.js 14, LiveKit Cloud, Silero VAD, WebRTC, WebSocket;Telecomunicaciones, Tecnología & Software, BPO & Contact Centers;Tecnología, Telecomunicaciones, Next.js, LiveKit, Silero VAD, Listo para propuesta;La frontera de la interacción por voz con IA;Plataforma de experimentación e investigación en tecnologías de voz en tiempo real. Integración de modelos de latencia ultrabaja, síntesis vocal adaptativa y análisis emocional.;Benchmark de latencia, pruebas de speech-to-speech y desarrollo de agentes de contact center autónomos.;https://convergencelab-production.up.railway.app/;https://github.com/Juansotag/ConvergenceLab;NA;NA
